,nomes,autores,colocacoes,numero_avaliacoes,precos,notas
0,Mulheres que correm com os lobos,Clarissa Pinkola Estés,1.0,3590.0,34.9,4.8
1,O Regresso De Jaspion,Fabio Yabu,2.0,,45.4,
2,O conto da aia,nan,3.0,5588.0,20.9,4.7
3,A Garota do Lago,nan,4.0,1719.0,12.9,4.6
4,Do Mil ao Milhão. Sem Cortar o Cafezinho.,nan,5.0,5927.0,19.9,4.7
5,1984,nan,6.0,3797.0,34.5,4.9
6,Mais esperto que o Diabo: O mistério revelado da liberdade e do sucesso,nan,7.0,4646.0,24.87,4.7
7,Customs Law and Administration: Treaties: This title is only available for direct order through Oceana TM www.oceanalaw…,Oceana Editorial Board,8.0,2.0,nan,4.0
8,O morro dos ventos uivantes,Emily Bronte,9.0,1916.0,12.9,4.7
9,Coraline - Acompanha marcador de páginas especial,Neil Gaiman,10.0,2233.0,37.9,4.8
10,O poder do hábito,nan,11.0,4060.0,37.9,4.7
11,A coragem de ser imperfeito,nan,12.0,1460.0,26.79,4.7
12,Sol da meia-noite: (Midnight Sun) - Série Crepúsculo: 1,Stephenie Meyer,13.0,2667.0,44.8,4.8
13,Pequeno manual antirracista,Djamila Ribeiro,14.0,2928.0,16.9,4.9
14,A revolução dos bichos: Um conto de fadas,nan,15.0,4355.0,29.9,4.9
15,Dinossauros.Os gigantes da Terra - Kit com 10 und.,Roberto Belli,16.0,117.0,1.73,4.7
16,Mindset: A nova psicologia do sucesso,Carol S. Dweck,17.0,3599.0,34.9,4.6
17,World Online Business Law: This title is only available for direct order through Oceana TM www.oceanalaw.com,Andrew Simpson,18.0,,nan,
18,Sapiens - Uma Breve História da Humanidade,nan,19.0,6146.0,38.88,4.8
19,As Crônicas de Nárnia. Brochura,nan,20.0,2694.0,26.9,4.8
20,O homem mais rico da Babilônia,nan,21.0,3126.0,20.62,4.9
21,Digest of Commercial Laws of the World: This title is only available for direct order through Oceana TM www.oceanalaw…,Stephan Kinsella,22.0,1.0,nan,5.0
22,Essencialismo,nan,23.0,2120.0,33.9,4.8
23,Duna: 1,nan,24.0,1230.0,67.92,4.8
24,Theory and Practice of Group Counseling,nan,25.0,,"1.631,01",
25,International Execution Against Judgment Debtors: This title is only available for direct order through Oceana TM www…,Center for International Legal…,26.0,,nan,
26,O milagre da manhã: O segredo para transformar sua vida (antes das 8 horas),nan,27.0,5377.0,23.87,4.7
27,International Securities Regulation: This title is only available for direct order through Oceana TM www.oceanalaw.com…,Robert Rosen,28.0,,nan,
28,Trono de vidro (Vol. 1),nan,29.0,1486.0,24.9,4.8
29,Ponto de inflexão,Flávio Augusto Da Silva,30.0,2593.0,24.4,4.9
30,As cinco linguagens do amor - 3 edição: Como expressar um compromisso de amor a seu cônjuge,nan,31.0,1841.0,24.99,4.9
31,Customs Law and Administration: Statutes: This title is only available for direct order through Oceana TM www.oceanalaw…,Oceana Editorial Board,32.0,,nan,
32,Os segredos da mente milionária,T. Harv Eker,33.0,4752.0,25.89,4.8
33,"Cidade da Lua Crescente. Casa de Terra e Sangue (Vol. 1) - Acompanha Pôster, Marcador e Bolsa",Sarah J. Maas,34.0,,59.9,
